"Transaction has been declined. Please try again later.","A transação foi recusada. Por favor, tente novamente mais tarde."
"%1 minutes","%1 minutos"
"1 hour","1 hora"
"12 hours","12 horas"
"1 day","1 dia"
"%1 minutes","%1 minutos"
"Refund order","Pedido reembolsado"
"Order Canceled.","Pedido cancelado."
"Captured by collector from Sqala API","Capturado pelo coletor via API da Sqala"
"Awaiting payment through Pix.","Aguardando pagamento via Pix."
"Order %1 - Increment Id %2 - state %3","Pedido %1 - ID incremental %2 - estado %3"
"Finished","Finalizado"
"Pix - Sqala","Pix - Sqala"
"Pix (Sqala)","Pix (Sqala)",
"sqala_id","sqala_id"
"Expiration","Expiração"
"Pix QR Code","Código QR do Pix"
"Pix Code","Código Pix"
"Payer Document Type","Tipo de documento do pagador"
"Document number","Número do documento"
"Status (Sqala)","Status (Sqala)"
"Status Detail (Sqala)","Detalhes do status (Sqala)"
"To pay, please scan the QR code","Para pagar, escaneie o código QR"
"Copy","Copiar"
"Copied!","Copiado!"
"Please provide a valid document identification.","Por favor, informe um documento de identificação válido."
"This payment method offers <strong>immediate confirmation</strong>.<br>The payment deadline is within <strong>%1</strong>.<br>Upon completing your order, you will receive a code to complete the transaction through your preferred banking institution (please consult your bank regarding any daily Pix transfer limits).","Este método de pagamento oferece <strong>confirmação imediata</strong>.<br>O prazo para pagamento é de até <strong>%1</strong>.<br>Ao finalizar o pedido, você receberá um código para concluir a transação no banco de sua preferência (consulte seu banco sobre os limites diários de transferência via Pix)."
"Transaction ID (Sqala)","ID da Transação (Sqala)"
"Place Order","Realizar pedido"
